neighborhoodCrimeStatisticsID,neighborhood,ucrDescription,number,reportMonth,reportYear
114,COLUMBIA PARK,Arson,0,8,2017
115,COLUMBIA PARK,Auto Theft,0,8,2017
116,COLUMBIA PARK,Burglary,3,8,2017
117,COLUMBIA PARK,Homicide,0,8,2017
118,COLUMBIA PARK,Larceny,2,8,2017
119,COLUMBIA PARK,Rape,0,8,2017
120,COLUMBIA PARK,Robbery,1,8,2017
121,COMO,Aggravated Assault,1,8,2017
122,COMO,Arson,0,8,2017
123,COMO,Auto Theft,2,8,2017
124,COMO,Burglary,5,8,2017
125,COMO,Homicide,0,8,2017
126,COMO,Larceny,11,8,2017
127,COMO,Rape,0,8,2017
128,COMO,Robbery,2,8,2017
129,COOPER,Aggravated Assault,1,8,2017
130,COOPER,Arson,0,8,2017
131,COOPER,Auto Theft,0,8,2017
132,COOPER,Burglary,7,8,2017
133,COOPER,Homicide,0,8,2017
134,COOPER,Larceny,7,8,2017
135,COOPER,Rape,0,8,2017
136,COOPER,Robbery,0,8,2017
137,CORCORAN,Aggravated Assault,0,8,2017
138,CORCORAN,Arson,1,8,2017
139,CORCORAN,Auto Theft,2,8,2017
140,CORCORAN,Burglary,4,8,2017
141,CORCORAN,Homicide,0,8,2017
142,CORCORAN,Larceny,13,8,2017
143,CORCORAN,Rape,0,8,2017
144,CORCORAN,Robbery,1,8,2017
145,DIAMOND LAKE,Aggravated Assault,0,8,2017
146,DIAMOND LAKE,Arson,0,8,2017
147,DIAMOND LAKE,Auto Theft,2,8,2017
148,DIAMOND LAKE,Burglary,4,8,2017
149,DIAMOND LAKE,Homicide,0,8,2017
150,DIAMOND LAKE,Larceny,7,8,2017
151,DIAMOND LAKE,Rape,0,8,2017
152,DIAMOND LAKE,Robbery,0,8,2017
153,DOWNTOWN EAST,Aggravated Assault,0,8,2017
154,DOWNTOWN EAST,Arson,0,8,2017
155,DOWNTOWN EAST,Auto Theft,1,8,2017
156,DOWNTOWN EAST,Burglary,0,8,2017
157,DOWNTOWN EAST,Homicide,0,8,2017
158,DOWNTOWN EAST,Larceny,26,8,2017
159,DOWNTOWN EAST,Rape,0,8,2017
160,DOWNTOWN EAST,Robbery,0,8,2017
161,DOWNTOWN WEST,Aggravated Assault,22,8,2017
162,DOWNTOWN WEST,Arson,0,8,2017
163,DOWNTOWN WEST,Auto Theft,13,8,2017
164,DOWNTOWN WEST,Burglary,8,8,2017
165,DOWNTOWN WEST,Homicide,0,8,2017
166,DOWNTOWN WEST,Larceny,162,8,2017
167,DOWNTOWN WEST,Rape,2,8,2017
168,DOWNTOWN WEST,Robbery,36,8,2017
169,EAST HARRIET,Aggravated Assault,0,8,2017
170,EAST HARRIET,Arson,0,8,2017
171,EAST HARRIET,Auto Theft,0,8,2017
172,EAST HARRIET,Burglary,2,8,2017
173,EAST HARRIET,Homicide,0,8,2017
174,EAST HARRIET,Larceny,11,8,2017
175,EAST HARRIET,Rape,0,8,2017
176,EAST HARRIET,Robbery,0,8,2017
177,EAST ISLES,Aggravated Assault,0,8,2017
178,EAST ISLES,Arson,0,8,2017
179,EAST ISLES,Auto Theft,2,8,2017
180,EAST ISLES,Burglary,11,8,2017
181,EAST ISLES,Homicide,0,8,2017
182,EAST ISLES,Larceny,23,8,2017
183,EAST ISLES,Rape,0,8,2017
184,EAST ISLES,Robbery,0,8,2017
185,EAST PHILLIPS,Aggravated Assault,5,8,2017
186,EAST PHILLIPS,Arson,0,8,2017
187,EAST PHILLIPS,Auto Theft,1,8,2017
188,EAST PHILLIPS,Burglary,1,8,2017
189,EAST PHILLIPS,Homicide,0,8,2017
190,EAST PHILLIPS,Larceny,11,8,2017
191,EAST PHILLIPS,Rape,0,8,2017
192,EAST PHILLIPS,Robbery,9,8,2017
193,ECCO,Aggravated Assault,0,8,2017
194,ECCO,Arson,0,8,2017
195,ECCO,Auto Theft,1,8,2017
196,ECCO,Burglary,4,8,2017
197,ECCO,Homicide,0,8,2017
198,ECCO,Larceny,18,8,2017
199,ECCO,Rape,0,8,2017
200,ECCO,Robbery,0,8,2017
201,ELLIOT PARK,Aggravated Assault,10,8,2017
202,ELLIOT PARK,Arson,0,8,2017
203,ELLIOT PARK,Auto Theft,6,8,2017
204,ELLIOT PARK,Burglary,4,8,2017
205,ELLIOT PARK,Homicide,0,8,2017
206,ELLIOT PARK,Larceny,26,8,2017
207,ELLIOT PARK,Rape,1,8,2017
208,ELLIOT PARK,Robbery,4,8,2017
209,ERICSSON,Aggravated Assault,0,8,2017
210,ERICSSON,Arson,0,8,2017
211,ERICSSON,Auto Theft,1,8,2017
212,ERICSSON,Burglary,4,8,2017
213,ERICSSON,Homicide,0,8,2017
214,ERICSSON,Larceny,2,8,2017
215,ERICSSON,Rape,0,8,2017
216,ERICSSON,Robbery,0,8,2017
217,FIELD,Aggravated Assault,0,8,2017
218,FIELD,Arson,0,8,2017
219,FIELD,Auto Theft,1,8,2017
220,FIELD,Burglary,1,8,2017
221,FIELD,Homicide,0,8,2017
222,FIELD,Larceny,6,8,2017
223,FIELD,Rape,0,8,2017
224,FIELD,Robbery,0,8,2017
225,FOLWELL,Aggravated Assault,9,8,2017
226,FOLWELL,Arson,0,8,2017
227,FOLWELL,Auto Theft,4,8,2017
228,FOLWELL,Burglary,11,8,2017
229,FOLWELL,Homicide,1,8,2017
230,FOLWELL,Larceny,7,8,2017
231,FOLWELL,Rape,2,8,2017
232,FOLWELL,Robbery,5,8,2017
233,FULTON,Aggravated Assault,0,8,2017
234,FULTON,Arson,0,8,2017
235,FULTON,Auto Theft,1,8,2017
236,FULTON,Burglary,4,8,2017
237,FULTON,Homicide,0,8,2017
238,FULTON,Larceny,3,8,2017
239,FULTON,Rape,0,8,2017
240,FULTON,Robbery,0,8,2017
241,HALE,Aggravated Assault,0,8,2017
242,HALE,Arson,0,8,2017
243,HALE,Auto Theft,0,8,2017
244,HALE,Burglary,1,8,2017
245,HALE,Homicide,0,8,2017
246,HALE,Larceny,3,8,2017
247,HALE,Rape,0,8,2017
248,HALE,Robbery,0,8,2017
249,HARRISON,Aggravated Assault,2,8,2017
250,HARRISON,Arson,0,8,2017
251,HARRISON,Auto Theft,3,8,2017
252,HARRISON,Burglary,5,8,2017
253,HARRISON,Homicide,0,8,2017
254,HARRISON,Larceny,6,8,2017
255,HARRISON,Rape,1,8,2017
256,HARRISON,Robbery,0,8,2017
257,HAWTHORNE,Aggravated Assault,9,8,2017
258,HAWTHORNE,Arson,1,8,2017
259,HAWTHORNE,Auto Theft,8,8,2017
260,HAWTHORNE,Burglary,6,8,2017
261,HAWTHORNE,Homicide,0,8,2017
262,HAWTHORNE,Larceny,22,8,2017
263,HAWTHORNE,Rape,0,8,2017
264,HAWTHORNE,Robbery,2,8,2017
265,HIAWATHA,Aggravated Assault,0,8,2017
266,HIAWATHA,Arson,0,8,2017
267,HIAWATHA,Auto Theft,3,8,2017
268,HIAWATHA,Burglary,5,8,2017
269,HIAWATHA,Homicide,0,8,2017
270,HIAWATHA,Larceny,19,8,2017
271,HIAWATHA,Rape,0,8,2017
272,HIAWATHA,Robbery,2,8,2017
273,HOLLAND,Aggravated Assault,1,8,2017
274,HOLLAND,Arson,0,8,2017
275,HOLLAND,Auto Theft,1,8,2017
276,HOLLAND,Burglary,4,8,2017
277,HOLLAND,Homicide,0,8,2017
278,HOLLAND,Larceny,5,8,2017
279,HOLLAND,Rape,0,8,2017
280,HOLLAND,Robbery,4,8,2017
281,HOWE,Aggravated Assault,1,8,2017
282,HOWE,Arson,0,8,2017
283,HOWE,Auto Theft,4,8,2017
284,HOWE,Burglary,5,8,2017
285,HOWE,Homicide,0,8,2017
286,HOWE,Larceny,8,8,2017
287,HOWE,Rape,0,8,2017
288,HOWE,Robbery,0,8,2017
289,HUMBOLDT INDUSTRIAL AREA,Aggravated Assault,0,8,2017
290,HUMBOLDT INDUSTRIAL AREA,Arson,0,8,2017
291,HUMBOLDT INDUSTRIAL AREA,Auto Theft,0,8,2017
292,HUMBOLDT INDUSTRIAL AREA,Burglary,0,8,2017
293,HUMBOLDT INDUSTRIAL AREA,Homicide,0,8,2017
294,HUMBOLDT INDUSTRIAL AREA,Larceny,0,8,2017
295,HUMBOLDT INDUSTRIAL AREA,Rape,0,8,2017
296,HUMBOLDT INDUSTRIAL AREA,Robbery,0,8,2017
297,JORDAN,Aggravated Assault,14,8,2017
298,JORDAN,Arson,3,8,2017
299,JORDAN,Auto Theft,9,8,2017
300,JORDAN,Burglary,10,8,2017
301,JORDAN,Homicide,0,8,2017
302,JORDAN,Larceny,28,8,2017
303,JORDAN,Rape,1,8,2017
304,JORDAN,Robbery,8,8,2017
305,KEEWAYDIN,Aggravated Assault,0,8,2017
306,KEEWAYDIN,Arson,0,8,2017
307,KEEWAYDIN,Auto Theft,1,8,2017
308,KEEWAYDIN,Burglary,0,8,2017
309,KEEWAYDIN,Homicide,0,8,2017
310,KEEWAYDIN,Larceny,7,8,2017
311,KEEWAYDIN,Rape,0,8,2017
312,KEEWAYDIN,Robbery,0,8,2017
313,KENNY,Aggravated Assault,0,8,2017
314,KENNY,Arson,0,8,2017
315,KENNY,Auto Theft,1,8,2017
316,KENNY,Burglary,3,8,2017
317,KENNY,Homicide,0,8,2017
318,KENNY,Larceny,8,8,2017
319,KENNY,Rape,0,8,2017
320,KENNY,Robbery,0,8,2017
321,KENWOOD,Aggravated Assault,1,8,2017
322,KENWOOD,Arson,0,8,2017
323,KENWOOD,Auto Theft,0,8,2017
324,KENWOOD,Burglary,2,8,2017
325,KENWOOD,Homicide,0,8,2017
326,KENWOOD,Larceny,3,8,2017
327,KENWOOD,Rape,0,8,2017
328,KENWOOD,Robbery,1,8,2017
329,KING FIELD,Aggravated Assault,1,8,2017
330,KING FIELD,Arson,0,8,2017
331,KING FIELD,Auto Theft,1,8,2017
332,KING FIELD,Burglary,3,8,2017
333,KING FIELD,Homicide,0,8,2017
334,KING FIELD,Larceny,8,8,2017
335,KING FIELD,Rape,1,8,2017
336,KING FIELD,Robbery,0,8,2017
337,LIND - BOHANON,Aggravated Assault,4,8,2017
338,LIND - BOHANON,Arson,1,8,2017
339,LIND - BOHANON,Auto Theft,0,8,2017
340,LIND - BOHANON,Burglary,6,8,2017
341,LIND - BOHANON,Homicide,0,8,2017
342,LIND - BOHANON,Larceny,6,8,2017
343,LIND - BOHANON,Rape,1,8,2017
344,LIND - BOHANON,Robbery,0,8,2017
345,LINDEN HILLS,Aggravated Assault,0,8,2017
346,LINDEN HILLS,Arson,0,8,2017
347,LINDEN HILLS,Auto Theft,1,8,2017
348,LINDEN HILLS,Burglary,3,8,2017
349,LINDEN HILLS,Homicide,0,8,2017
350,LINDEN HILLS,Larceny,8,8,2017
351,LINDEN HILLS,Rape,0,8,2017
352,LINDEN HILLS,Robbery,0,8,2017
353,LOGAN PARK,Aggravated Assault,2,8,2017
354,LOGAN PARK,Arson,0,8,2017
355,LOGAN PARK,Auto Theft,5,8,2017
356,LOGAN PARK,Burglary,3,8,2017
357,LOGAN PARK,Homicide,0,8,2017
358,LOGAN PARK,Larceny,4,8,2017
359,LOGAN PARK,Rape,0,8,2017
360,LOGAN PARK,Robbery,0,8,2017
361,LONGFELLOW,Aggravated Assault,1,8,2017
362,LONGFELLOW,Arson,0,8,2017
363,LONGFELLOW,Auto Theft,2,8,2017
364,LONGFELLOW,Burglary,4,8,2017
365,LONGFELLOW,Homicide,0,8,2017
366,LONGFELLOW,Larceny,47,8,2017
367,LONGFELLOW,Rape,1,8,2017
368,LONGFELLOW,Robbery,2,8,2017
369,LORING PARK,Aggravated Assault,3,8,2017
370,LORING PARK,Arson,0,8,2017
371,LORING PARK,Auto Theft,3,8,2017
372,LORING PARK,Burglary,4,8,2017
373,LORING PARK,Homicide,0,8,2017
374,LORING PARK,Larceny,33,8,2017
375,LORING PARK,Rape,1,8,2017
376,LORING PARK,Robbery,7,8,2017
377,LOWRY HILL,Aggravated Assault,0,8,2017
378,LOWRY HILL,Arson,0,8,2017
379,LOWRY HILL,Auto Theft,1,8,2017
380,LOWRY HILL,Burglary,9,8,2017
381,LOWRY HILL,Homicide,0,8,2017
382,LOWRY HILL,Larceny,10,8,2017
383,LOWRY HILL,Rape,0,8,2017
384,LOWRY HILL,Robbery,0,8,2017
385,LOWRY HILL EAST,Aggravated Assault,3,8,2017
386,LOWRY HILL EAST,Arson,0,8,2017
387,LOWRY HILL EAST,Auto Theft,3,8,2017
388,LOWRY HILL EAST,Burglary,5,8,2017
389,LOWRY HILL EAST,Homicide,0,8,2017
390,LOWRY HILL EAST,Larceny,40,8,2017
391,LOWRY HILL EAST,Rape,0,8,2017
392,LOWRY HILL EAST,Robbery,2,8,2017
393,LYNDALE,Aggravated Assault,5,8,2017
394,LYNDALE,Arson,0,8,2017
395,LYNDALE,Auto Theft,6,8,2017
396,LYNDALE,Burglary,10,8,2017
397,LYNDALE,Homicide,0,8,2017
398,LYNDALE,Larceny,23,8,2017
399,LYNDALE,Rape,0,8,2017
400,LYNDALE,Robbery,5,8,2017
401,LYNNHURST,Aggravated Assault,0,8,2017
402,LYNNHURST,Arson,0,8,2017
403,LYNNHURST,Auto Theft,1,8,2017
404,LYNNHURST,Burglary,3,8,2017
405,LYNNHURST,Homicide,0,8,2017
406,LYNNHURST,Larceny,6,8,2017
407,LYNNHURST,Rape,1,8,2017
408,LYNNHURST,Robbery,0,8,2017
409,MARCY HOLMES,Aggravated Assault,2,8,2017
410,MARCY HOLMES,Arson,0,8,2017
411,MARCY HOLMES,Auto Theft,11,8,2017
412,MARCY HOLMES,Burglary,7,8,2017
413,MARCY HOLMES,Homicide,0,8,2017
414,MARCY HOLMES,Larceny,37,8,2017
415,MARCY HOLMES,Rape,0,8,2017
416,MARCY HOLMES,Robbery,3,8,2017
417,MARSHALL TERRACE,Aggravated Assault,1,8,2017
418,MARSHALL TERRACE,Arson,0,8,2017
419,MARSHALL TERRACE,Auto Theft,2,8,2017
420,MARSHALL TERRACE,Burglary,3,8,2017
421,MARSHALL TERRACE,Homicide,0,8,2017
422,MARSHALL TERRACE,Larceny,5,8,2017
423,MARSHALL TERRACE,Rape,0,8,2017
424,MARSHALL TERRACE,Robbery,0,8,2017
425,MCKINLEY,Aggravated Assault,3,8,2017
426,MCKINLEY,Arson,0,8,2017
427,MCKINLEY,Auto Theft,3,8,2017
428,MCKINLEY,Burglary,6,8,2017
429,MCKINLEY,Homicide,0,8,2017
430,MCKINLEY,Larceny,6,8,2017
431,MCKINLEY,Rape,0,8,2017
432,MCKINLEY,Robbery,0,8,2017
433,MID - CITY INDUSTRIAL,Aggravated Assault,0,8,2017
434,MID - CITY INDUSTRIAL,Arson,0,8,2017
435,MID - CITY INDUSTRIAL,Auto Theft,0,8,2017
436,MID - CITY INDUSTRIAL,Burglary,6,8,2017
437,MID - CITY INDUSTRIAL,Homicide,0,8,2017
438,MID - CITY INDUSTRIAL,Larceny,3,8,2017
439,MID - CITY INDUSTRIAL,Rape,0,8,2017
440,MID - CITY INDUSTRIAL,Robbery,0,8,2017
441,MIDTOWN PHILLIPS,Aggravated Assault,5,8,2017
442,MIDTOWN PHILLIPS,Arson,0,8,2017
443,MIDTOWN PHILLIPS,Auto Theft,1,8,2017
444,MIDTOWN PHILLIPS,Burglary,6,8,2017
445,MIDTOWN PHILLIPS,Homicide,0,8,2017
446,MIDTOWN PHILLIPS,Larceny,17,8,2017
447,MIDTOWN PHILLIPS,Rape,1,8,2017
448,MIDTOWN PHILLIPS,Robbery,5,8,2017
449,MINNEHAHA,Aggravated Assault,1,8,2017
450,MINNEHAHA,Arson,0,8,2017
451,MINNEHAHA,Auto Theft,0,8,2017
452,MINNEHAHA,Burglary,1,8,2017
453,MINNEHAHA,Homicide,0,8,2017
454,MINNEHAHA,Larceny,8,8,2017
455,MINNEHAHA,Rape,0,8,2017
456,MINNEHAHA,Robbery,1,8,2017
457,MORRIS PARK,Aggravated Assault,0,8,2017
458,MORRIS PARK,Arson,0,8,2017
459,MORRIS PARK,Auto Theft,0,8,2017
460,MORRIS PARK,Burglary,1,8,2017
461,MORRIS PARK,Homicide,0,8,2017
462,MORRIS PARK,Larceny,2,8,2017
463,MORRIS PARK,Rape,0,8,2017
464,MORRIS PARK,Robbery,0,8,2017
465,NEAR - NORTH,Aggravated Assault,8,8,2017
466,NEAR - NORTH,Arson,0,8,2017
467,NEAR - NORTH,Auto Theft,2,8,2017
468,NEAR - NORTH,Burglary,14,8,2017
469,NEAR - NORTH,Homicide,1,8,2017
470,NEAR - NORTH,Larceny,44,8,2017
471,NEAR - NORTH,Rape,1,8,2017
472,NEAR - NORTH,Robbery,5,8,2017
473,NICOLLET ISLAND - EAST BANK,Aggravated Assault,0,8,2017
474,NICOLLET ISLAND - EAST BANK,Arson,0,8,2017
475,NICOLLET ISLAND - EAST BANK,Auto Theft,1,8,2017
476,NICOLLET ISLAND - EAST BANK,Burglary,1,8,2017
477,NICOLLET ISLAND - EAST BANK,Homicide,0,8,2017
478,NICOLLET ISLAND - EAST BANK,Larceny,6,8,2017
479,NICOLLET ISLAND - EAST BANK,Rape,0,8,2017
480,NICOLLET ISLAND - EAST BANK,Robbery,1,8,2017
481,NORTH LOOP,Aggravated Assault,1,8,2017
482,NORTH LOOP,Arson,0,8,2017
483,NORTH LOOP,Auto Theft,0,8,2017
484,NORTH LOOP,Burglary,5,8,2017
485,NORTH LOOP,Homicide,0,8,2017
486,NORTH LOOP,Larceny,50,8,2017
487,NORTH LOOP,Rape,0,8,2017
488,NORTH LOOP,Robbery,5,8,2017
489,NORTHEAST PARK,Aggravated Assault,0,8,2017
490,NORTHEAST PARK,Arson,0,8,2017
491,NORTHEAST PARK,Auto Theft,0,8,2017
492,NORTHEAST PARK,Burglary,0,8,2017
493,NORTHEAST PARK,Homicide,0,8,2017
494,NORTHEAST PARK,Larceny,11,8,2017
495,NORTHEAST PARK,Rape,0,8,2017
496,NORTHEAST PARK,Robbery,0,8,2017
497,NORTHROP,Aggravated Assault,1,8,2017
498,NORTHROP,Arson,0,8,2017
499,NORTHROP,Auto Theft,3,8,2017
500,NORTHROP,Burglary,6,8,2017
501,NORTHROP,Homicide,0,8,2017
502,NORTHROP,Larceny,6,8,2017
503,NORTHROP,Rape,0,8,2017
504,NORTHROP,Robbery,1,8,2017
505,PAGE,Aggravated Assault,0,8,2017
506,PAGE,Arson,0,8,2017
507,PAGE,Auto Theft,1,8,2017
508,PAGE,Burglary,3,8,2017
509,PAGE,Homicide,0,8,2017
510,PAGE,Larceny,1,8,2017
511,PAGE,Rape,0,8,2017
512,PAGE,Robbery,0,8,2017
513,PHILLIPS WEST,Aggravated Assault,5,8,2017
514,PHILLIPS WEST,Arson,0,8,2017
515,PHILLIPS WEST,Auto Theft,4,8,2017
516,PHILLIPS WEST,Burglary,8,8,2017
517,PHILLIPS WEST,Homicide,0,8,2017
518,PHILLIPS WEST,Larceny,17,8,2017
519,PHILLIPS WEST,Rape,0,8,2017
520,PHILLIPS WEST,Robbery,2,8,2017
521,POWDERHORN PARK,Aggravated Assault,6,8,2017
522,POWDERHORN PARK,Arson,0,8,2017
523,POWDERHORN PARK,Auto Theft,3,8,2017
524,POWDERHORN PARK,Burglary,15,8,2017
525,POWDERHORN PARK,Homicide,0,8,2017
526,POWDERHORN PARK,Larceny,22,8,2017
527,POWDERHORN PARK,Rape,2,8,2017
528,POWDERHORN PARK,Robbery,2,8,2017
529,PROSPECT PARK - EAST RIVER ROAD,Aggravated Assault,0,8,2017
530,PROSPECT PARK - EAST RIVER ROAD,Arson,0,8,2017
531,PROSPECT PARK - EAST RIVER ROAD,Auto Theft,1,8,2017
532,PROSPECT PARK - EAST RIVER ROAD,Burglary,6,8,2017
533,PROSPECT PARK - EAST RIVER ROAD,Homicide,0,8,2017
534,PROSPECT PARK - EAST RIVER ROAD,Larceny,27,8,2017
535,PROSPECT PARK - EAST RIVER ROAD,Rape,3,8,2017
536,PROSPECT PARK - EAST RIVER ROAD,Robbery,3,8,2017
537,REGINA,Aggravated Assault,1,8,2017
538,REGINA,Arson,0,8,2017
539,REGINA,Auto Theft,0,8,2017
540,REGINA,Burglary,2,8,2017
541,REGINA,Homicide,0,8,2017
542,REGINA,Larceny,2,8,2017
543,REGINA,Rape,0,8,2017
544,REGINA,Robbery,1,8,2017
545,SEWARD,Aggravated Assault,5,8,2017
546,SEWARD,Arson,0,8,2017
547,SEWARD,Auto Theft,3,8,2017
548,SEWARD,Burglary,11,8,2017
549,SEWARD,Homicide,0,8,2017
550,SEWARD,Larceny,25,8,2017
551,SEWARD,Rape,0,8,2017
552,SEWARD,Robbery,4,8,2017
553,SHERIDAN,Aggravated Assault,1,8,2017
554,SHERIDAN,Arson,0,8,2017
555,SHERIDAN,Auto Theft,3,8,2017
556,SHERIDAN,Burglary,5,8,2017
557,SHERIDAN,Homicide,0,8,2017
558,SHERIDAN,Larceny,11,8,2017
559,SHERIDAN,Rape,0,8,2017
560,SHERIDAN,Robbery,0,8,2017
561,SHINGLE CREEK,Aggravated Assault,0,8,2017
562,SHINGLE CREEK,Arson,0,8,2017
563,SHINGLE CREEK,Auto Theft,0,8,2017
564,SHINGLE CREEK,Burglary,6,8,2017
565,SHINGLE CREEK,Homicide,0,8,2017
566,SHINGLE CREEK,Larceny,5,8,2017
567,SHINGLE CREEK,Rape,0,8,2017
568,SHINGLE CREEK,Robbery,1,8,2017
569,ST. ANTHONY EAST,Aggravated Assault,1,8,2017
570,ST. ANTHONY EAST,Arson,0,8,2017
571,ST. ANTHONY EAST,Auto Theft,1,8,2017
572,ST. ANTHONY EAST,Burglary,2,8,2017
573,ST. ANTHONY EAST,Homicide,0,8,2017
574,ST. ANTHONY EAST,Larceny,3,8,2017
575,ST. ANTHONY EAST,Rape,0,8,2017
576,ST. ANTHONY EAST,Robbery,0,8,2017
577,ST. ANTHONY WEST,Aggravated Assault,0,8,2017
578,ST. ANTHONY WEST,Arson,0,8,2017
579,ST. ANTHONY WEST,Auto Theft,0,8,2017
580,ST. ANTHONY WEST,Burglary,3,8,2017
581,ST. ANTHONY WEST,Homicide,0,8,2017
582,ST. ANTHONY WEST,Larceny,2,8,2017
583,ST. ANTHONY WEST,Rape,1,8,2017
